Date,Comment,tokens_stopword,clean_text,stemmed
2026-02-13T03:47:18Z,"['pak', 'seperti', 'halnya', 'buka', 'map', 'dari', 'tempat', 'yang', 'tidak', 'stabil', 'growth', 'dari', 'investasi', 'dari', 'kepastian', 'dan', 'resiko', 'banyak', 'hutan', 'dan', 'kegelapan', 'yang', 'belum', 'dijamah', 'probabilitas', 'seperti', 'pilihan', 'raja', 'ampat', 'yang', 'ada', 'probabilitas', 'tambang', 'namun', 'dipilih', 'melestarikan', 'pariwisata', 'dan', 'keindahan', 'alam', 'serumit', 'itu', 'managemen', 'keputusan', 'pak']","['halnya', 'buka', 'map', 'tempat', 'tidak', 'stabil', 'growth', 'investasi', 'kepastian', 'resiko', 'banyak', 'hutan', 'kegelapan', 'dijamah', 'probabilitas', 'pilihan', 'raja', 'ampat', 'probabilitas', 'tambang', 'dipilih', 'melestarikan', 'pariwisata', 'keindahan', 'alam', 'serumit', 'managemen', 'keputusan']",halnya buka map tempat tidak stabil growth investasi kepastian resiko banyak hutan kegelapan dijamah probabilitas pilihan raja ampat probabilitas tambang dipilih melestarikan pariwisata keindahan alam serumit managemen keputusan,hal buka map tempat tidak stabil growth investasi pasti resiko banyak hutan gelap jamah probabilitas pilih raja ampat probabilitas tambang pilih lestari pariwisata indah alam rumit managemen putus
2026-02-13T03:36:43Z,"['pak', 'kebijakan', 'dan', 'regulasi', 'banyak', 'dari', 'aspirasi', 'mahasiswa', 'bagus', 'dan', 'mereka', 'masih', 'muda', 'semangat', 'menggebu', 'gebu', 'berani', 'ambil', 'langkah', 'jauh', 'seperti', 'pak', 'koboi', 'pak', 'purbaya', 'saya', 'teringat', 'kata', 'kata', 'soekarno', 'tentang', 'pemuda', 'yang', 'bisa', 'mengubah', 'indonesia', 'semangat']","['kebijakan', 'regulasi', 'banyak', 'aspirasi', 'mahasiswa', 'bagus', 'muda', 'semangat', 'menggebu', 'gebu', 'berani', 'ambil', 'langkah', 'jauh', 'koboi', 'purbaya', 'teringat', 'kata', 'kata', 'soekarno', 'pemuda', 'mengubah', 'indonesia', 'semangat']",kebijakan regulasi banyak aspirasi mahasiswa bagus muda semangat menggebu gebu berani ambil langkah jauh koboi purbaya teringat kata kata soekarno pemuda mengubah indonesia semangat,bijak regulasi banyak aspirasi mahasiswa bagus muda semangat gebu gebu berani ambil langkah jauh koboi purbaya ingat kata kata soekarno pemuda ubah indonesia semangat
2026-02-13T03:33:40Z,"['pak', 'sbn', 'saat', 'negara', 'defisit', 'yang', 'debeli', 'bank', 'investor', 'ritel', 'bisa', 'dioptimalkan', 'kah', 'kalo', 'pengeluaran', 'lebih', 'besar', 'dari', 'pendapatan', 'berarti', 'return', 'dari', 'investasi', 'tidak', 'bisa', 'nutup', 'dan', 'profit']","['sbn', 'negara', 'defisit', 'debeli', 'bank', 'investor', 'ritel', 'dioptimalkan', 'kalo', 'pengeluaran', 'lebih', 'besar', 'pendapatan', 'berarti', 'return', 'investasi', 'tidak', 'nutup', 'profit']",sbn negara defisit debeli bank investor ritel dioptimalkan kalo pengeluaran lebih besar pendapatan berarti return investasi tidak nutup profit,sbn negara defisit debeli bank investor ritel optimal kalo keluar lebih besar dapat arti return investasi tidak nutup profit
2026-02-13T03:25:31Z,"['pak', 'gesture', 'tubuh', 'bisa', 'diimprove', 'dengan', 'gerak', 'mata', 'dan', 'kedipan', 'mata', 'ketarik', 'saat', 'anda', 'drive', 'dan', 'hilang', 'kenangan', 'yang', 'baru', 'saja', 'berlalu', 'serta', 'dimasukkan', 'oleh', 'mereka', 'mengenai', 'asumsi', 'kemiskinan', 'itu', 'definisi', 'pengaruh', 'pak', 'menurut']","['gesture', 'tubuh', 'diimprove', 'gerak', 'mata', 'kedipan', 'mata', 'ketarik', 'drive', 'hilang', 'kenangan', 'baru', 'berlalu', 'dimasukkan', 'mengenai', 'asumsi', 'kemiskinan', 'definisi', 'pengaruh']",gesture tubuh diimprove gerak mata kedipan mata ketarik drive hilang kenangan baru berlalu dimasukkan mengenai asumsi kemiskinan definisi pengaruh,gesture tubuh diimprove gerak mata kedip mata tarik drive hilang kenang baru lalu masuk kena asumsi miskin definisi pengaruh
2026-02-12T03:07:12Z,"['semangat', 'pak', 'put']","['semangat', 'put']",semangat put,semangat put
2026-02-11T09:31:25Z,"['gedabrus', 'lihat', 'didaerah', 'tuh', 'rakyatnya', 'menjerit']","['gedabrus', 'lihat', 'didaerah', 'tuh', 'rakyatnya', 'menjerit']",gedabrus lihat didaerah tuh rakyatnya menjerit,gedabrus lihat daerah tuh rakyat jerit
2026-02-10T14:53:41Z,"['tenaga', 'pengajar', 'dibayar', 'tapi', 'dipilih', 'dong', 'yang', 'bagus', 'dan', 'dievaluasi', 'nya', 'spt', 'swasta', 'jangan', 'seperti', 'pns']","['tenaga', 'pengajar', 'dibayar', 'dipilih', 'dong', 'bagus', 'dievaluasi', 'spt', 'swasta', 'jangan', 'pns']",tenaga pengajar dibayar dipilih dong bagus dievaluasi spt swasta jangan pns,tenaga ajar bayar pilih dong bagus evaluasi spt swasta jangan pns
2026-02-10T07:27:02Z,"['coba', 'sekali', 'pengen', 'lagi']","['coba', 'sekali', 'pengen']",coba sekali pengen,coba sekali ken
2026-02-10T07:27:02Z,"['tempat', 'santai', 'anti', 'ribet']","['tempat', 'santai', 'anti', 'ribet']",tempat santai anti ribet,tempat santai anti ribet
2026-02-10T07:27:01Z,"['masuk', 'dulu', 'rasakan', 'sendiri']","['masuk', 'dulu', 'rasakan', 'sendiri']",masuk dulu rasakan sendiri,masuk dulu rasa sendiri
2026-02-10T07:27:01Z,"['lagi', 'hits', 'wajib', 'coba']","['hits', 'wajib', 'coba']",hits wajib coba,hits wajib coba
2026-02-10T07:17:28Z,"['bismillah', 'keren', 'bapak', 'bapak', 'ini', 'bismillah', 'inn', 'shaa', 'allah', 'niat', 'baik', 'untuk', 'nkri', 'dimudahkan', 'dalam', 'segala', 'hal', 'oleh', 'allah']","['bismillah', 'keren', 'bismillah', 'inn', 'shaa', 'allah', 'niat', 'baik', 'nkri', 'dimudahkan', 'segala', 'allah']",bismillah keren bismillah inn shaa allah niat baik nkri dimudahkan segala allah,bismillah keren bismillah inn shaa allah niat baik nkri mudah segala allah
2026-02-09T16:03:39Z,"['ini', 'daging', 'buat', 'gen']","['daging', 'buat', 'gen']",daging buat gen,daging buat gen
2026-02-09T11:14:10Z,"['anak', 'muda', 'bangsa', 'ini', 'harus', 'banyak', 'nontok', 'perbincangan', 'seperti', 'ini']","['anak', 'muda', 'bangsa', 'banyak', 'nontok', 'perbincangan']",anak muda bangsa banyak nontok perbincangan,anak muda bangsa banyak nontok bincang
2026-02-08T19:11:35Z,"['obrolan', 'orang', 'orang', 'pinter']","['obrolan', 'orang', 'orang', 'pinter']",obrolan orang orang pinter,obrol orang orang pinter
2026-02-08T14:05:37Z,"['luar', 'biasa', 'pak', 'gita', 'dan', 'purbaya', 'isinya', 'daging', 'semua', 'akhirnya', 'terungkap', 'juga', 'dari', 'sekian', 'banyak', 'masalah', 'masalah', 'utamanya', 'botllenecking', 'semoga', 'purbaya', 'berhasil', 'menguruai', 'ini', 'kalau', 'tidak', 'pertumbuhan', 'mustahil', 'tercapai']","['luar', 'biasa', 'gita', 'purbaya', 'isinya', 'daging', 'semua', 'akhirnya', 'terungkap', 'sekian', 'banyak', 'masalah', 'masalah', 'utamanya', 'botllenecking', 'semoga', 'purbaya', 'berhasil', 'menguruai', 'kalau', 'tidak', 'pertumbuhan', 'mustahil', 'tercapai']",luar biasa gita purbaya isinya daging semua akhirnya terungkap sekian banyak masalah masalah utamanya botllenecking semoga purbaya berhasil menguruai kalau tidak pertumbuhan mustahil tercapai,luar biasa gita purbaya isi daging semua akhir ungkap sekian banyak masalah masalah utama botllenecking moga purbaya hasil menguruai kalau tidak tumbuh mustahil capai
2026-02-08T10:09:34Z,"['coba', 'debat', 'capres', 'kyak', 'gini', 'pertanyaan', 'dan', 'jawabannya']","['coba', 'debat', 'capres', 'kyak', 'gini', 'pertanyaan', 'jawabannya']",coba debat capres kyak gini pertanyaan jawabannya,coba debat capres kyak gin tanya jawab
2026-02-08T04:22:09Z,"['mentri', 'menku', 'pemimpin', 'yang', 'priyatin', 'ulet', 'disiplin', 'maka', 'sekrang', 'melaksankan', 'jujur', 'trnparan']","['mentri', 'menku', 'pemimpin', 'priyatin', 'ulet', 'disiplin', 'sekrang', 'melaksankan', 'jujur', 'trnparan']",mentri menku pemimpin priyatin ulet disiplin sekrang melaksankan jujur trnparan,tri menku pimpin priyatin ulet disiplin sekrang melaksankan jujur trnparan
2026-02-07T02:41:27Z,"['setuju', 'masa', 'pur', 'dosen', 'nya', 'dulu', 'baru', 'para', 'guru', 'sma', 'smp', 'tapi', 'yang', 'menenuhi', 'syarat', 'tingkat', 'anggaran', 'bea', 'siswa', 'perbanyak', 'anak', 'dapa', 'beasiswa', 'ikatan', 'dinas']","['setuju', 'masa', 'purbaya', 'dosen', 'dulu', 'baru', 'guru', 'sma', 'smp', 'menenuhi', 'syarat', 'tingkat', 'anggaran', 'bea', 'siswa', 'perbanyak', 'anak', 'dapa', 'beasiswa', 'ikatan', 'dinas']",setuju masa purbaya dosen dulu baru guru sma smp menenuhi syarat tingkat anggaran bea siswa perbanyak anak dapa beasiswa ikatan dinas,tuju masa purbaya dosen dulu baru guru sma smp menenuhi syarat tingkat anggar bea siswa banyak anak dapa beasiswa ikat dinas
2026-02-06T18:24:27Z,['trkh'],['trkh'],trkh,trkh
2026-02-06T16:53:16Z,"['hutang', 'tahun', 'jumlah', 'plastic', 'isu', 'jumlah', 'tahun']","['hutang', 'tahun', 'jumlah', 'plastic', 'isu', 'jumlah', 'tahun']",hutang tahun jumlah plastic isu jumlah tahun,hutang tahun jumlah plastic isu jumlah tahun
2026-02-06T17:01:55Z,"['saham', 'turun', 'peratus']","['saham', 'turun', 'peratus']",saham turun peratus,saham turun atus
2026-02-14T15:56:21Z,"['aset', 'wang', 'saya', 'dari', 'not', 'tolong', 'jaga', 'sebentar', 'ampun']","['aset', 'wang', 'not', 'jaga', 'sebentar', 'ampun']",aset wang not jaga sebentar ampun,aset wang not jaga sebentar ampun
2026-02-25T13:38:17Z,"['saham', 'syarikat', 'naik', 'peratus']","['saham', 'syarikat', 'naik', 'peratus']",saham syarikat naik peratus,saham syarikat naik atus
2026-02-06T03:58:19Z,"['you', 'talk', 'blue', 'streak']","['you', 'talk', 'blue', 'streak']",you talk blue streak,you talk blue streak
